id	commonName	version	catalog.shortName	GPS	reference	jsonurl	mass_1_source	mass_1_source_lower	mass_1_source_upper	mass_2_source	mass_2_source_lower	mass_2_source_upper	network_matched_filter_snr	network_matched_filter_snr_lower	network_matched_filter_snr_upper	luminosity_distance	luminosity_distance_lower	luminosity_distance_upper	chi_eff	chi_eff_lower	chi_eff_upper	total_mass_source	total_mass_source_lower	total_mass_source_upper	chirp_mass_source	chirp_mass_source_lower	chirp_mass_source_upper	chirp_mass	chirp_mass_lower	chirp_mass_upper	redshift	redshift_lower	redshift_upper	far	far_lower	far_upper	p_astro	p_astro_lower	p_astro_upper	final_mass_source	final_mass_source_lower	final_mass_source_upper
GW170823-v1	GW170823	1	GWTC-1-confident	1187529256.5	https://doi.org/10.7935/82H3-HH23	https://www.gw-openscience.org/eventapi/json/GWTC-1-confident/GW170823/v1	39.5	-6.7	11.2	29	-7.8	6.7	11.5			1940	-900	970	0.09	-0.26	0.22				29.2	-3.6	4.6				0.35	-0.15	0.15	1.00E-07			1			65.4	-7.4	10.1
GW190408_181802-v1	GW190408_181802	1	GWTC-2	1238782700.3	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190408_181802/v1	24.6	-3.4	5.1	18.4	-3.6	3.3	14.67360038			1550	-600	400	-0.03	-0.19	0.14	43	-3	4.2	18.3	-1.2	1.9	23.7	-1.7	1.4	0.29	-0.1	0.06	1.00E-05			1			41.1	-2.8	3.9
GW190412-v3	GW190412	3	GWTC-2	1239082262.2	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190412/v3	30.1	-5.1	4.7	8.3	-0.9	1.6	18.86182683			740	-170	140	0.25	-0.11	0.08	38.4	-3.7	3.8	13.3	-0.3	0.4	15.2	-0.2	0.2	0.15	-0.03	0.03	1.00E-05			1			37.3	-3.8	3.9
GW190413_052954-v1	GW190413_052954	1	GWTC-2	1239168612.5	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190413_052954/v1	34.7	-8.1	12.6	23.7	-6.7	7.3	8.555396162			3550	-1660	2270	-0.01	-0.34	0.29	58.6	-9.7	13.3	24.6	-4.1	5.5	39.4	-6.6	7.7	0.59	-0.24	0.29	0.071683267			0.97779			56	-9.2	12.5
GW190413_134308-v1	GW190413_134308	1	GWTC-2	1239198206.7	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190413_134308/v1	47.5	-10.7	13.5	31.8	-10.8	11.7	9.03069302			4450	-2120	2480	-0.03	-0.29	0.25	78.8	-11.9	17.4	33	-5.4	8.2	57	-9.8	8.6	0.71	-0.3	0.31	0.04365732			0.9849			75.5	-11.4	16.4
GW190421_213856-v1	GW190421_213856	1	GWTC-2	1239917954.3	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190421_213856/v1	41.3	-6.9	10.4	31.9	-8.8	8	10.5506957			2880	-1380	1370	-0.06	-0.27	0.22	72.9	-9.2	13.4	31.2	-4.2	5.9	46.6	-6	6.6	0.49	-0.21	0.19	0.000773831			0.999768			69.7	-8.7	12.5
GW190424_180648-v1	GW190424_180648	1	GWTC-2	1240164426.1	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190424_180648/v1	40.5	-7.3	11.1	31.8	-7.7	7.6	10.09397697			2200	-1160	1580	0.13	-0.22	0.22	72.6	-10.7	13.3	31	-4.6	5.8	43.4	-4.8	6	0.39	-0.19	0.23	9.038785547			0.121101515			68.9	-10.1	12.4
GW190425-v2	GW190425	2	GWTC-2	1240215503.0	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190425/v2	2	-0.3	0.6	1.4	-0.3	0.3	13.02922972			160	-70	70	0.06	-0.05	0.11	3.4	-0.1	0.3	1.44	-0.02	0.02	1.49	-0.0006	0.0008	0.03	-0.02	0.01	0.000751855								
GW190426_152155-v1	GW190426_152155	1	GWTC-2	1240327333.3	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190426_152155/v1	5.7	-2.3	3.9	1.5	-0.5	0.8	10.12041365			370	-160	180	-0.03	-0.3	0.32	7.2	-1.5	3.5	2.41	-0.08	0.08	2.6	-0.01	0.01	0.08	-0.03	0.04	1.443741335								
GW190503_185404-v1	GW190503_185404	1	GWTC-2	1240944862.3	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190503_185404/v1	43.3	-8.1	9.2	28.4	-8	7.7	12.09959961			1450	-630	690	-0.03	-0.26	0.2	71.7	-8.3	9.4	30.2	-4.2	4.2	38.6	-6	5.3	0.27	-0.11	0.11	1.00E-05			0.999995			68.6	-7.7	8.8
GW190512_180714-v1	GW190512_180714	1	GWTC-2	1241719652.4	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190512_180714/v1	23.3	-5.8	5.3	12.6	-2.5	3.6	12.26449406			1430	-550	550	0.03	-0.13	0.12	35.9	-3.5	3.8	14.6	-1	1.3	18.6	-0.8	0.9	0.27	-0.1	0.09	1.00E-05			1			34.5	-3.5	3.8
GW190513_205428-v1	GW190513_205428	1	GWTC-2	1241816086.8	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190513_205428/v1	35.7	-9.2	9.5	18	-4.1	7.7	12.28987774			2060	-800	880	0.11	-0.17	0.28	53.9	-5.9	8.6	21.6	-1.9	3.8	29.5	-2.5	5.6	0.37	-0.13	0.13	1.00E-05			1			51.6	-5.8	8.2
GW190514_065416-v1	GW190514_065416	1	GWTC-2	1241852074.8	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190514_065416/v1	39	-8.2	14.7	28.4	-8.8	9.3	8.30449355			4130	-2170	2650	-0.19	-0.32	0.29	67.2	-10.8	18.7	28.5	-4.8	7.9	48.1	-7.7	7.5	0.67	-0.31	0.33	0.526687679			0.95959			64.5	-10.4	17.9
GW190517_055101-v1	GW190517_055101	1	GWTC-2	1242107479.8	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190517_055101/v1	37.4	-7.6	11.7	25.3	-7.3	7	10.24122164			1860	-840	1620	0.52	-0.19	0.19	63.5	-9.6	9.6	26.6	-4	4	35.9	-3.4	4	0.34	-0.14	0.24	5.72E-05			1			59.3	-8.9	9.1
GW190519_153544-v1	GW190519_153544	1	GWTC-2	1242315362.4	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190519_153544/v1	66	-12	10.7	40.5	-11.1	11	12.04985271			2530	-920	1830	0.31	-0.22	0.2	106.6	-14.8	13.5	44.5	-7.1	6.4	65.1	-10.3	7.7	0.44	-0.14	0.25	1.00E-05			0.999998			101	-13.8	12.4
GW190521_030229-v3	GW190521_030229	3	GWTC-2	1242442967.4	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190521/v3	95.3	-18.9	28.7	69	-23.1	22.7	14.37604605			3920	-1950	2190	0.03	-0.39	0.32	163.9	-23.5	39.2	69.2	-10.6	17	114.8	-17.6	15.2	0.64	-0.28	0.28	0.000203964						156.3	-22.4	36.8
GW190521_074359-v1	GW190521_074359	1	GWTC-2	1242459857.5	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190521_074359/v1	42.2	-4.8	5.9	32.8	-6.4	5.4	24.38410872			1240	-570	400	0.09	-0.13	0.1	74.7	-4.8	7	32.1	-2.5	3.2	39.8	-3	2.2	0.24	-0.1	0.07	1.00E-05			1			71	-4.4	6.5
GW190527_092055-v1	GW190527_092055	1	GWTC-2	1242984073.8	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190527_092055/v1	36.5	-9	16.4	22.6	-8.1	10.5	8.867476218			2490	-1240	2480	0.11	-0.28	0.28	59.1	-9.8	21.3	24.3	-4.2	9.1	34.9	-5.5	21.7	0.44	-0.2	0.34	0.062270351			0.988513			56.4	-9.3	20.2
GW190602_175927-v1	GW190602_175927	1	GWTC-2	1243533585.1	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190602_175927/v1	69.1	-13	15.7	47.8	-17.4	14.3	12.13087549			2690	-1120	1790	0.07	-0.24	0.25	116.3	-15.6	19	49.1	-8.5	9.1	72.9	-13.7	10.8	0.47	-0.17	0.25	1.15E-05			0.999994			110.9	-14.9	17.7
GW190620_030421-v1	GW190620_030421	1	GWTC-2	1245035079.3	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190620_030421/v1	57.1	-12.7	16	35.5	-12.3	12.2	10.91846315			2810	-1310	1680	0.33	-0.25	0.22	92.1	-13.1	18.5	38.3	-6.5	8.3	57.5	-11.2	9	0.49	-0.2	0.23	0.002920938			0.999133			87.2	-12.1	16.8
GW190630_185205-v1	GW190630_185205	1	GWTC-2	1245955943.2	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190630_185205/v1	35.1	-5.6	6.9	23.7	-5.1	5.2	15.64051209			890	-370	560	0.1	-0.13	0.12	59.1	-4.8	4.6	24.9	-2.1	2.1	29.4	-1.5	1.6	0.18	-0.07	0.1	1.00E-05			1			56.4	-4.6	4.4
GW190701_203306-v1	GW190701_203306	1	GWTC-2	1246048404.6	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190701_203306/v1	53.9	-8	11.8	40.8	-12	8.7	11.58996006			2060	-730	760	-0.07	-0.29	0.23	94.3	-9.5	12.1	40.3	-4.9	5.4	55.5	-8.1	7.3	0.37	-0.12	0.11	0.010861369			0.997879			90.2	-8.9	11.3
GW190706_222641-v1	GW190706_222641	1	GWTC-2	1246487219.3	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190706_222641/v1	67	-16.2	14.6	38.2	-13.3	14.6	12.34834506			4420	-1930	2590	0.28	-0.29	0.26	104.1	-13.9	20.2	42.7	-7	10	75.1	-17.5	11	0.71	-0.27	0.32	1.00E-05			1			99	-13.5	18.3
GW190707_093326-v1	GW190707_093326	1	GWTC-2	1246527224.2	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190707_093326/v1	11.6	-1.7	3.3	8.4	-1.7	1.4	12.97817936			770	-370	380	-0.05	-0.08	0.1	20.1	-1.3	1.9	8.5	-0.5	0.6	9.89	-0.09	0.1	0.16	-0.07	0.07	1.00E-05			1			19.2	-1.3	1.9
GW190708_232457-v1	GW190708_232457	1	GWTC-2	1246663515.4	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190708_232457/v1	17.6	-2.3	4.7	13.2	-2.7	2	13.0713007			880	-390	330	0.02	-0.08	0.1	30.9	-1.8	2.5	13.2	-0.6	0.9	15.5	-0.2	0.3	0.18	-0.07	0.06	2.83E-05			0.999988			29.5	-1.8	2.5
GW190719_215514-v1	GW190719_215514	1	GWTC-2	1247608532.9	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190719_215514/v1	36.5	-10.3	18	20.8	-7.2	9	7.993907515			3940	-2000	2590	0.32	-0.31	0.29	57.8	-10.7	18.3	23.5	-4	6.5	38.7	-6.6	9.2	0.64	-0.29	0.33	1.559222129			0.81555			54.9	-10.2	17.3
GW190720_000836-v1	GW190720_000836	1	GWTC-2	1247616534.7	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190720_000836/v1	13.4	-3	6.7	7.8	-2.2	2.3	11.69609782			790	-320	690	0.18	-0.12	0.14	21.5	-2.3	4.3	8.9	-0.8	0.5	10.4	-0.1	0.2	0.16	-0.06	0.12	1.00E-05			1			20.4	-2.2	4.5
GW190727_060333-v1	GW190727_060333	1	GWTC-2	1248242632.0	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190727_060333/v1	38	-6.2	9.5	29.4	-8.4	7.1	12.29941092			3300	-1500	1540	0.11	-0.25	0.26	67.1	-8	11.7	28.6	-3.7	5.3	44.7	-5.7	5.3	0.55	-0.22	0.21	1.00E-05			1			63.8	-7.5	10.9
GW190728_064510-v1	GW190728_064510	1	GWTC-2	1248331528.5	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190728_064510/v1	12.3	-2.2	7.2	8.1	-2.6	1.7	13.64274848			870	-370	260	0.12	-0.07	0.2	20.6	-1.3	4.5	8.6	-0.3	0.5	10.1	-0.08	0.09	0.18	-0.07	0.05	1.00E-05			1			19.6	-1.3	4.7
GW190731_140936-v1	GW190731_140936	1	GWTC-2	1248617394.6	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190731_140936/v1	41.5	-9	12.2	28.8	-9.5	9.7	8.460146466			3300	-1720	2390	0.06	-0.24	0.24	70.1	-11.3	15.8	29.5	-5.2	7.1	46.6	-8.2	6.8	0.55	-0.26	0.31	0.205842123			0.966501			67	-10.8	14.6
GW190803_022701-v1	GW190803_022701	1	GWTC-2	1248834439.9	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190803_022701/v1	37.3	-7	10.6	27.3	-8.2	7.8	8.614396126			3270	-1580	1950	-0.03	-0.27	0.24	64.5	-9	12.6	27.3	-4.1	5.7	42.7	-6.1	6.3	0.55	-0.24	0.26	0.026934317			0.99411			61.7	-8.5	11.8
GW190814-v2	GW190814	2	GWTC-2	1249852257.0	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190814/v2	23.2	-1	1.1	2.59	-0.09	0.08	22.17523326			240	-50	40	0	-0.06	0.06	25.8	-0.9	1	6.09	-0.06	0.06	6.41	-0.02	0.02	0.05	-0.01	0.009	1.00E-05			1			25.6	-0.9	1.1
GW190828_063405-v1	GW190828_063405	1	GWTC-2	1251009263.8	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190828_063405/v1	32.1	-4	5.8	26.2	-4.8	4.6	16.03592292			2130	-930	660	0.19	-0.16	0.15	58	-4.8	7.7	25	-2.1	3.4	34.5	-2.8	2.9	0.38	-0.15	0.1	1.00E-05			1			54.9	-4.3	7.2
GW190828_065509-v1	GW190828_065509	1	GWTC-2	1251010527.9	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190828_065509/v1	24.1	-7.2	7	10.2	-2.1	3.6	11.12790887			1600	-600	620	0.08	-0.16	0.16	34.4	-4.4	5.4	13.3	-1	1.2	17.4	-0.7	0.6	0.3	-0.1	0.1	1.00E-05			1			33.1	-4.5	5.5
GW190909_114149-v1	GW190909_114149	1	GWTC-2	1252064527.7	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190909_114149/v1	45.8	-13.3	52.7	28.3	-12.7	13.4	9.047895			3770	-2220	3270	-0.06	-0.36	0.37	75	-17.6	55.9	30.9	-7.5	17.2	49.8	-12.4	32.2	0.62	-0.33	0.41	26.18301944			0.13553			72	-16.8	54.9
GW190910_112807-v1	GW190910_112807	1	GWTC-2	1252150105.3	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190910_112807/v1	43.9	-6.1	7.6	35.6	-7.2	6.3	13.41737344			1460	-580	1030	0.02	-0.18	0.18	79.6	-9.1	9.3	34.3	-4.1	4.1	43.9	-3.6	4.6	0.28	-0.1	0.16	1.89E-05			0.999988			75.8	-8.6	8.5
GW190924_021846-v1	GW190924_021846	1	GWTC-2	1253326744.8	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190924_021846/v1	8.9	-2	7	5	-1.9	1.4	13.15903752			570	-220	220	0.03	-0.09	0.3	13.9	-1	5.1	5.8	-0.2	0.2	6.44	-0.03	0.04	0.12	-0.04	0.04	1.00E-05			1			13.3	-1	5.2
GW190929_012149-v1	GW190929_012149	1	GWTC-2	1253755327.5	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190929_012149/v1	80.8	-33.2	33	24.1	-10.6	19.3	9.875628916			2130	-1050	3650	0.01	-0.33	0.34	104.3	-25.2	34.9	35.8	-8.2	14.9	52.2	-15.4	19.9	0.38	-0.17	0.49	0.020161444			0.995693			101.5	-25.3	33.6
GW190930_133541-v1	GW190930_133541	1	GWTC-2	1253885759.2	/GWTC-2/	https://www.gw-openscience.org/eventapi/json/GWTC-2/GW190930_133541/v1	12.3	-2.3	12.4	7.8	-3.3	1.7	9.837638319			760	-320	360	0.14	-0.15	0.31	20.3	-1.5	8.9	8.5	-0.5	0.5	9.8	-0.2	0.2	0.15	-0.06	0.06	0.033092198			0.99373			19.4	-1.5	9.2
GW190915_235702-v2	GW190915_235702	2	GWTC-2.1-confident	1252627040.6	/GWTC-2.1/	https://www.gw-openscience.org/eventapi/json/GWTC-2.1-confident/GW190915_235702/v2	32.6	-4.9	8.8	24.5	-5.8	4.9	13.1	-0.3	0.2	1750	-650	710	-0.03	-0.24	0.19	57.2	-5.3	7.1	24.4	-2.3	3				0.32	-0.11	0.11	7.00E-05			1			54.7	-5	6.6
